filename,width,height,class,xmin,ymin,xmax,ymax
6461.png,1220,1555,PIP,738,371,864,495
6461.png,1220,1555,MCP,428,629,550,786
6461.png,1220,1555,MCP,305,671,419,816
6461.png,1220,1555,MCP,555,590,676,744
6461.png,1220,1555,MCP,684,609,823,768
6461.png,1220,1555,MCP,873,820,997,957
6461.png,1220,1555,Radius,484,1183,711,1352
6461.png,1220,1555,Ulna,361,1201,522,1340
6461.png,1220,1555,Wrist,366,973,820,1257
6425.png,1068,1339,DIP,133,454,220,551
6425.png,1068,1339,DIP,272,266,355,359
6425.png,1068,1339,DIP,419,182,509,286
6425.png,1068,1339,DIP,612,218,695,315
6425.png,1068,1339,PIP,870,570,966,679
6425.png,1068,1339,PIP,186,532,261,625
6425.png,1068,1339,PIP,292,375,388,482
6425.png,1068,1339,PIP,424,300,527,415
6425.png,1068,1339,PIP,594,319,696,420
6425.png,1068,1339,MCP,353,532,453,659
6425.png,1068,1339,MCP,267,638,359,755
6425.png,1068,1339,MCP,454,502,553,627
6425.png,1068,1339,MCP,566,499,679,628
6425.png,1068,1339,MCP,780,678,880,789
6425.png,1068,1339,Radius,465,994,650,1132
6425.png,1068,1339,Ulna,358,1029,489,1142
6425.png,1068,1339,Wrist,366,796,734,1027
4332.png,622,1037,PIP,308,258,360,325
4332.png,622,1037,PIP,396,393,447,458
4332.png,622,1037,PIP,116,352,160,416
4332.png,622,1037,MCP,307,385,375,460
4332.png,622,1037,DIP,237,163,286,225
4332.png,622,1037,PIP,177,285,221,352
4332.png,622,1037,PIP,240,245,286,314
4332.png,622,1037,DIP,300,186,345,244
4332.png,622,1037,DIP,115,295,157,352
4332.png,622,1037,MCP,126,454,187,527
4332.png,622,1037,MCP,177,417,243,494
4332.png,622,1037,MCP,387,483,452,552
4332.png,622,1037,MCP,234,383,296,455
4332.png,622,1037,DIP,180,211,226,267
4332.png,622,1037,Ulna,192,737,260,808
4332.png,622,1037,Wrist,167,577,394,734
4332.png,622,1037,Radius,251,718,353,805
4311.png,950,1385,DIP,419,173,490,260
4311.png,950,1385,PIP,176,460,245,547
4311.png,950,1385,PIP,422,302,499,402
4311.png,950,1385,PIP,547,324,625,420
4311.png,950,1385,DIP,296,216,366,300
4311.png,950,1385,PIP,695,532,778,629
4311.png,950,1385,DIP,562,219,629,301
4311.png,950,1385,MCP,333,545,414,653
4311.png,950,1385,MCP,639,670,734,776
4311.png,950,1385,MCP,245,604,328,706
4311.png,950,1385,Wrist,314,832,650,1044
4311.png,950,1385,MCP,415,519,504,629
4311.png,950,1385,PIP,306,337,380,435
4311.png,950,1385,MCP,520,521,618,630
4311.png,950,1385,DIP,143,370,214,458
4311.png,950,1385,Ulna,319,990,411,1104
4311.png,950,1385,Radius,408,980,560,1100
4291.png,829,1380,PIP,387,234,458,337
4291.png,829,1380,PIP,264,278,333,368
4291.png,829,1380,PIP,148,387,210,466
4291.png,829,1380,DIP,400,111,463,196
4291.png,829,1380,DIP,264,164,320,235
4291.png,829,1380,DIP,561,185,618,255
4291.png,829,1380,PIP,526,282,598,363
4291.png,829,1380,DIP,134,305,188,368
4291.png,829,1380,MCP,268,499,350,600
4291.png,829,1380,MCP,355,469,448,575
4291.png,829,1380,MCP,188,548,271,649
4291.png,829,1380,MCP,455,475,557,581
4291.png,829,1380,MCP,593,627,688,722
4291.png,829,1380,PIP,664,482,744,580
4291.png,829,1380,Ulna,254,961,342,1056
4291.png,829,1380,Wrist,247,788,582,981
4291.png,829,1380,Radius,324,931,484,1051
6400.png,1664,1944,DIP,328,894,424,1002
6400.png,1664,1944,DIP,479,698,572,801
6400.png,1664,1944,DIP,728,573,828,688
6400.png,1664,1944,DIP,966,651,1058,759
6400.png,1664,1944,PIP,1160,1066,1267,1188
6400.png,1664,1944,PIP,412,992,495,1095
6400.png,1664,1944,PIP,527,847,634,966
6400.png,1664,1944,PIP,720,743,835,870
6400.png,1664,1944,PIP,923,776,1036,888
6400.png,1664,1944,MCP,597,1045,707,1186
6400.png,1664,1944,MCP,499,1132,602,1263
6400.png,1664,1944,MCP,730,989,839,1128
6400.png,1664,1944,MCP,869,989,995,1132
6400.png,1664,1944,MCP,1039,1207,1151,1331
6400.png,1664,1944,Radius,704,1603,909,1755
6400.png,1664,1944,Ulna,587,1615,732,1740
6400.png,1664,1944,Wrist,598,1400,1008,1656
4306.png,1104,1516,PIP,520,532,601,639
4306.png,1104,1516,PIP,663,559,738,655
4306.png,1104,1516,PIP,339,615,413,718
4306.png,1104,1516,DIP,286,524,351,610
4306.png,1104,1516,DIP,673,459,736,542
4306.png,1104,1516,DIP,514,411,583,506
4306.png,1104,1516,MCP,342,848,425,953
4306.png,1104,1516,Wrist,443,1031,737,1247
4306.png,1104,1516,PIP,871,818,950,912
4306.png,1104,1516,MCP,627,730,722,849
4306.png,1104,1516,MCP,419,781,508,897
4306.png,1104,1516,MCP,519,737,608,854
4306.png,1104,1516,MCP,774,910,865,1012
4306.png,1104,1516,DIP,185,710,255,789
4306.png,1104,1516,PIP,244,764,315,850
4306.png,1104,1516,Ulna,424,1202,515,1305
4306.png,1104,1516,Radius,513,1209,662,1311
6487.png,1292,1771,DIP,147,465,254,585
6487.png,1292,1771,DIP,339,273,442,387
6487.png,1292,1771,DIP,534,167,645,295
6487.png,1292,1771,DIP,800,238,902,357
6487.png,1292,1771,PIP,1032,762,1150,897
6487.png,1292,1771,PIP,196,610,288,724
6487.png,1292,1771,PIP,344,435,463,567
6487.png,1292,1771,PIP,529,354,656,495
6487.png,1292,1771,PIP,755,391,881,515
6487.png,1292,1771,MCP,398,711,520,868
6487.png,1292,1771,MCP,285,787,399,932
6487.png,1292,1771,MCP,526,650,647,804
6487.png,1292,1771,MCP,684,646,823,805
6487.png,1292,1771,MCP,914,937,1038,1074
6487.png,1292,1771,Radius,512,1328,765,1493
6487.png,1292,1771,Ulna,390,1369,551,1508
6487.png,1292,1771,Wrist,373,1134,812,1429
6427.png,1454,1678,DIP,372,418,474,532
6427.png,1454,1678,DIP,534,242,631,350
6427.png,1454,1678,DIP,751,171,856,292
6427.png,1454,1678,DIP,982,254,1079,367
6427.png,1454,1678,PIP,1182,714,1294,843
6427.png,1454,1678,PIP,431,518,518,627
6427.png,1454,1678,PIP,566,397,679,522
6427.png,1454,1678,PIP,733,324,853,458
6427.png,1454,1678,PIP,934,395,1053,513
6427.png,1454,1678,MCP,625,637,741,786
6427.png,1454,1678,MCP,511,699,619,837
6427.png,1454,1678,MCP,747,599,862,746
6427.png,1454,1678,MCP,878,608,1010,760
6427.png,1454,1678,MCP,1049,857,1166,987
6427.png,1454,1678,Radius,672,1216,887,1377
6427.png,1454,1678,Ulna,549,1222,702,1354
6427.png,1454,1678,Wrist,547,1002,978,1272
4220.png,1065,1438,PIP,231,501,297,594
4220.png,1065,1438,PIP,376,384,447,487
4220.png,1065,1438,PIP,498,331,574,436
4220.png,1065,1438,DIP,517,196,585,289
4220.png,1065,1438,DIP,383,259,443,337
4220.png,1065,1438,DIP,201,409,266,497
4220.png,1065,1438,PIP,628,357,704,459
4220.png,1065,1438,PIP,808,557,893,669
4220.png,1065,1438,MCP,387,581,473,695
4220.png,1065,1438,Wrist,362,867,712,1105
4220.png,1065,1438,DIP,657,250,720,338
4220.png,1065,1438,MCP,582,553,682,674
4220.png,1065,1438,MCP,733,694,831,809
4220.png,1065,1438,MCP,293,645,384,759
4220.png,1065,1438,MCP,477,556,567,672
4220.png,1065,1438,Ulna,362,1082,464,1191
4220.png,1065,1438,Radius,440,1058,628,1193
6491.png,1183,1521,DIP,308,436,405,544
6491.png,1183,1521,DIP,509,275,601,377
6491.png,1183,1521,DIP,684,200,784,315
6491.png,1183,1521,DIP,870,268,962,375
6491.png,1183,1521,PIP,1025,765,1131,886
6491.png,1183,1521,PIP,349,552,432,655
6491.png,1183,1521,PIP,519,406,626,525
6491.png,1183,1521,PIP,671,340,785,467
6491.png,1183,1521,PIP,837,396,950,508
6491.png,1183,1521,MCP,540,628,650,769
6491.png,1183,1521,MCP,428,687,530,817
6491.png,1183,1521,MCP,658,598,767,736
6491.png,1183,1521,MCP,773,602,898,745
6491.png,1183,1521,MCP,932,900,1043,1023
6491.png,1183,1521,Radius,553,1147,757,1299
6491.png,1183,1521,Ulna,445,1166,590,1291
6491.png,1183,1521,Wrist,435,965,844,1221
6407.png,1612,1597,DIP,1192,507,1299,627
6407.png,1612,1597,DIP,946,313,1049,427
6407.png,1612,1597,DIP,723,228,834,356
6407.png,1612,1597,DIP,476,324,578,443
6407.png,1612,1597,PIP,252,896,370,1031
6407.png,1612,1597,PIP,1142,620,1234,734
6407.png,1612,1597,PIP,920,459,1039,591
6407.png,1612,1597,PIP,730,383,857,524
6407.png,1612,1597,PIP,509,458,635,582
6407.png,1612,1597,MCP,892,701,1014,858
6407.png,1612,1597,MCP,1025,763,1139,908
6407.png,1612,1597,MCP,755,661,876,815
6407.png,1612,1597,MCP,582,676,721,835
6407.png,1612,1597,MCP,406,989,530,1126
6407.png,1612,1597,Radius,712,1287,939,1456
6407.png,1612,1597,Ulna,900,1333,1061,1472
6407.png,1612,1597,Wrist,630,1088,1084,1372
4214.png,1006,1576,PIP,641,220,724,316
4214.png,1006,1576,PIP,484,207,565,308
4214.png,1006,1576,DIP,473,83,545,174
4214.png,1006,1576,PIP,238,408,307,499
4214.png,1006,1576,DIP,325,164,395,247
4214.png,1006,1576,PIP,349,277,429,375
4214.png,1006,1576,DIP,183,326,259,416
4214.png,1006,1576,DIP,654,111,722,196
4214.png,1006,1576,MCP,400,464,494,581
4214.png,1006,1576,MCP,748,563,851,671
4214.png,1006,1576,MCP,495,419,594,536
4214.png,1006,1576,MCP,605,409,715,526
4214.png,1006,1576,MCP,314,526,410,637
4214.png,1006,1576,PIP,825,431,911,534
4214.png,1006,1576,Wrist,410,720,759,944
4214.png,1006,1576,Radius,503,894,684,1022
4214.png,1006,1576,Ulna,425,926,527,1041
4229.png,835,1181,PIP,518,257,590,351
4229.png,835,1181,PIP,362,232,438,332
4229.png,835,1181,PIP,220,291,290,383
4229.png,835,1181,DIP,200,181,260,262
4229.png,835,1181,DIP,547,158,608,239
4229.png,835,1181,MCP,356,446,446,554
4229.png,835,1181,DIP,364,109,430,197
4229.png,835,1181,MCP,466,441,561,552
4229.png,835,1181,PIP,693,486,765,577
4229.png,835,1181,MCP,263,478,350,588
4229.png,835,1181,Wrist,261,715,593,933
4229.png,835,1181,MCP,617,601,713,702
4229.png,835,1181,MCP,177,532,263,635
4229.png,835,1181,Ulna,264,914,364,1003
4229.png,835,1181,DIP,43,339,102,421
4229.png,835,1181,Radius,358,920,490,1036
4229.png,835,1181,PIP,92,423,148,496
4264.png,1720,2320,PIP,1090,447,1253,641
4264.png,1720,2320,PIP,463,602,607,778
4264.png,1720,2320,PIP,733,423,900,619
4264.png,1720,2320,PIP,1407,866,1569,1054
4264.png,1720,2320,MCP,998,859,1204,1082
4264.png,1720,2320,DIP,1137,227,1275,399
4264.png,1720,2320,MCP,1280,1167,1480,1371
4264.png,1720,2320,MCP,784,894,970,1110
4264.png,1720,2320,MCP,628,999,801,1205
4264.png,1720,2320,DIP,390,366,529,534
4264.png,1720,2320,PIP,308,886,421,1038
4264.png,1720,2320,MCP,490,1099,654,1283
4264.png,1720,2320,Wrist,681,1519,1284,1920
4264.png,1720,2320,DIP,696,171,840,348
4264.png,1720,2320,Ulna,693,1898,906,2089
4264.png,1720,2320,DIP,191,724,324,891
4264.png,1720,2320,Radius,869,1842,1222,2071
4354.png,908,1198,PIP,403,253,472,347
4354.png,908,1198,DIP,579,182,641,258
4354.png,908,1198,DIP,404,138,466,214
4354.png,908,1198,PIP,273,311,339,399
4354.png,908,1198,MCP,626,586,714,679
4354.png,908,1198,DIP,254,215,312,286
4354.png,908,1198,MCP,486,441,580,548
4354.png,908,1198,PIP,547,277,615,365
4354.png,908,1198,PIP,722,489,792,579
4354.png,908,1198,MCP,307,474,390,579
4354.png,908,1198,MCP,393,444,475,543
4354.png,908,1198,MCP,241,535,321,632
4354.png,908,1198,Wrist,321,694,619,901
4354.png,908,1198,DIP,84,403,148,481
4354.png,908,1198,PIP,154,456,210,535
4354.png,908,1198,Ulna,330,885,423,1006
4354.png,908,1198,Radius,407,848,563,958
4297.png,909,1169,PIP,197,467,266,548
4297.png,909,1169,PIP,307,362,371,449
4297.png,909,1169,DIP,433,202,500,289
4297.png,909,1169,PIP,417,320,488,414
4297.png,909,1169,PIP,537,348,609,430
4297.png,909,1169,PIP,695,571,775,656
4297.png,909,1169,DIP,307,255,373,334
4297.png,909,1169,MCP,630,670,712,762
4297.png,909,1169,DIP,179,386,238,460
4297.png,909,1169,DIP,553,250,612,333
4297.png,909,1169,MCP,400,511,481,608
4297.png,909,1169,MCP,325,539,401,640
4297.png,909,1169,MCP,249,583,328,685
4297.png,909,1169,MCP,495,513,580,618
4297.png,909,1169,Wrist,306,763,604,965
4297.png,909,1169,Ulna,291,953,401,1050
4297.png,909,1169,Radius,390,922,537,1038
4357.png,1270,1612,PIP,600,347,688,472
4357.png,1270,1612,PIP,291,575,360,669
4357.png,1270,1612,PIP,419,442,500,556
4357.png,1270,1612,DIP,605,191,675,283
4357.png,1270,1612,PIP,789,390,874,501
4357.png,1270,1612,MCP,873,804,995,929
4357.png,1270,1612,DIP,844,269,914,357
4357.png,1270,1612,DIP,375,290,448,391
4357.png,1270,1612,Wrist,459,987,822,1258
4357.png,1270,1612,MCP,470,684,578,816
4357.png,1270,1612,MCP,371,730,483,856
4357.png,1270,1612,DIP,233,474,310,557
4357.png,1270,1612,PIP,1011,683,1107,803
4357.png,1270,1612,MCP,572,629,685,760
4357.png,1270,1612,MCP,693,619,815,753
4357.png,1270,1612,Ulna,477,1250,592,1367
4357.png,1270,1612,Radius,574,1179,770,1324
4331.png,768,929,PIP,311,192,376,278
4331.png,768,929,PIP,94,332,144,404
4331.png,768,929,DIP,314,98,370,174
4331.png,768,929,DIP,187,143,239,212
4331.png,768,929,PIP,201,231,261,314
4331.png,768,929,DIP,56,273,111,346
4331.png,768,929,MCP,500,520,575,602
4331.png,768,929,MCP,301,362,371,454
4331.png,768,929,DIP,479,170,531,240
4331.png,768,929,MCP,228,393,295,485
4331.png,768,929,PIP,448,240,510,320
4331.png,768,929,PIP,587,471,652,542
4331.png,768,929,Wrist,188,562,473,746
4331.png,768,929,MCP,391,377,472,465
4331.png,768,929,MCP,158,436,226,521
4331.png,768,929,Ulna,230,722,305,803
4331.png,768,929,Radius,302,701,415,794
6449.png,1216,1486,DIP,177,402,290,528
6449.png,1216,1486,DIP,358,184,466,304
6449.png,1216,1486,DIP,567,93,683,227
6449.png,1216,1486,DIP,800,148,908,273
6449.png,1216,1486,PIP,1039,599,1163,741
